sep=,
"Channel Response_wideband_ch_2"
"Element 1","Element 2"
"-2500000","0"
"-2421875","0"
"-2343750","0.10607669801685639"
"-2265625","0.10548126011402478"
"-2187500","0.10468504400212254"
"-2109375","0.10372827591996392"
"-2031250","0.10266045666869333"
"-1953125","0.10153702388937745"
"-1875000","0.10041528079964998"
"-1796875","0.099349817226785278"
"-1718750","0.098387788065716214"
"-1640625","0.097564544614657855"
"-1562500","0.09690018415341517"
"-1484375","0.096397542340853681"
"-1406250","0.096041980327840989"
"-1328125","0.095803043216066391"
"-1250000","0.095637764539331385"
"-1171875","0.095495152526400992"
"-1093750","0.09532127916250592"
"-1015625","0.09506441066785698"
"-937500","0.094679729574061705"
"-859375","0.094133346132253909"
"-781250","0.093405429815420035"
"-703125","0.092492380908324678"
"-625000","0.09140799973204404"
"-546875","0.090183604144829926"
"-468750","0.088867011357969997"
"-390625","0.087520262643353247"
"-312500","0.086215963709021654"
"-234375","0.085032183184151233"
"-156250","0.084046039172205961"
"-78125","0.083326421999220093"
"0","0"
"78125","0.082878515166013231"
"156250","0.083188014293235357"
"234375","0.083835110246889818"
"312500","0.0847761699107515"
"390625","0.085949379072654333"
"468750","0.087281721684509067"
"546875","0.088696346128609244"
"625000","0.090119329949431226"
"703125","0.091485239611399177"
"781250","0.092741242087642756"
"859375","0.093849767540395118"
"937500","0.094789837587002101"
"1015625","0.09555719736016037"
"1093750","0.096163367582365822"
"1171875","0.096633703560188605"
"1250000","0.097004538268297719"
"1328125","0.097319512960657162"
"1406250","0.097625267035780672"
"1484375","0.097966762160525953"
"1562500","0.098382630552930173"
"1640625","0.098901025105086873"
"1718750","0.099536465612129435"
"1796875","0.10028809025116621"
"1875000","0.10113953700494369"
"1953125","0.10206043750098563"
"2031250","0.10300927180149429"
"2109375","0.10393716853359748"
"2187500","0.10479217152146145"
"2265625","0.10552352484373508"
"2343750","0.10608561947118074"
"2421875","0"
