sep=,
"ISI-L1"
"Element 1","Element 2"
"[250]{-0.615308313445506, -0.956029655147595, -0.940811345679441, -0.600090003977355, -0.615308313445502, -0.956029655147589, -0.95602965514759, -0.956029655147593, -0.956029655147592, 0.267738732482754, 0.600090003977356, 0.615308313445509, 0.956029655147601, 0.940811345679444, -0.623678383652988, -0.956029655147592, -0.940811345679438, -0.600090003977357, 0.608460074184843, -0.623678383652994, -0.940811345679443, -0.615308313445508, -0.940811345679441, -0.615308313445503, 0.267738732482753, 0.600090003977356, 0.615308313445509, -0.267738732482746, 0.608460074184836, -0.608460074184832, -0.615308313445508, -0.956029655147594, 0.2829570419509, 0.940811345679437, -0.608460074184844, -0.600090003977357, 0.62367838365299, 0.956029655147593, -0.267738732482752, 0.623678383652991, 0.956029655147596, 0.940811345679446, 0.615308313445509, 0.940811345679445, -0.62367838365299, 0.267738732482748, 0.61530831344551, -0.2829570419509, 0.282957041950903, -0.267738732482751, 0.608460074184833, 0.600090003977353, -0.623678383652996, -0.940811345679444, -0.600090003977357, 0.623678383652991, -0.282957041950905, -0.940811345679439, 0.608460074184837, -0.608460074184841, 0.623678383652989, 0.940811345679438, 0.600090003977355, -0.608460074184844, -0.615308313445506, -0.940811345679442, -0.600090003977356, 0.608460074184842, 0.600090003977358, -0.60846007418484, -0.600090003977355, -0.600090003977354, -0.600090003977355, -0.615308313445513, 0.267738732482749, 0.600090003977354, -0.608460074184842, -0.60009000397736, 0.623678383652994, -0.267738732482753, -0.600090003977355, 0.60846007418484, 0.615308313445508, 0.956029655147597, -0.267738732482753, 0.608460074184831, -0.608460074184837, 0.60846007418484, -0.623678383652993, 0.267738732482751, 0.600090003977354, -0.623678383652994, 0.282957041950901, 0.956029655147596, 0.940811345679444, -0.608460074184835, -0.615308313445505, -0.940811345679439, 0.623678383652992, 0.940811345679444, 0.615308313445508, -0.26773873248275, -0.615308313445506, 0.282957041950905, -0.267738732482751, -0.600090003977356, 0.608460074184836, -0.608460074184837, 0.623678383652989, -0.282957041950904, 0.267738732482754, -0.623678383652989, -0.956029655147596, -0.956029655147591, 0.282957041950905, 0.940811345679447, 0.615308313445509, -0.267738732482755, 0.608460074184837, 0.615308313445508, -0.282957041950909, -0.940811345679448, 0.623678383652988, 0.956029655147593, 0.956029655147592, -0.267738732482748, 0.608460074184841, 0.615308313445507, 0.940811345679446, -0.608460074184842, 0.608460074184842, 0.615308313445506, 0.940811345679439, 0.615308313445507, 0.940811345679438, 0.60009000397735, 0.600090003977352, 0.600090003977351, -0.623678383652988, 0.267738732482754, 0.615308313445507, 0.940811345679436, 0.615308313445505, -0.282957041950907, 0.267738732482752, 0.615308313445508, 0.940811345679442, -0.608460074184834, -0.615308313445502, 0.282957041950906, 0.956029655147592, 0.956029655147592, 0.956029655147591, -0.282957041950907, 0.267738732482755, 0.615308313445509, -0.282957041950907, -0.940811345679452, -0.600090003977359, 0.623678383652992, 0.940811345679444, -0.608460074184842, 0.623678383652993, -0.267738732482751, 0.608460074184841, -0.623678383652997, 0.267738732482753, -0.623678383652995, -0.95602965514759, 0.267738732482753, 0.61530831344551, 0.956029655147591, 0.956029655147597, -0.282957041950898, -0.956029655147593, 0.282957041950905, -0.267738732482749, -0.600090003977354, -0.615308313445503, -0.940811345679442, 0.608460074184841, -0.623678383652989, 0.282957041950903, 0.940811345679444, -0.623678383652992, -0.940811345679439, 0.62367838365299, -0.26773873248275, -0.600090003977349, -0.615308313445509, 0.282957041950906, 0.940811345679439, -0.608460074184836, 0.623678383652989, 0.956029655147591, 0.940811345679443, -0.608460074184843, 0.60846007418484, -0.608460074184839, 0.608460074184837, 0.600090003977356, 0.600090003977357, 0.615308313445505, -0.282957041950901, 0.267738732482749, -0.608460074184837, 0.608460074184837, -0.623678383652987, -0.956029655147598, 0.267738732482753, -0.608460074184843, 0.623678383652996, 0.940811345679441, -0.623678383652989, -0.940811345679442, -0.600090003977348, -0.600090003977349, -0.615308313445501, -0.956029655147592, 0.267738732482753, -0.623678383652989, -0.940811345679441, 0.608460074184836, 0.615308313445504, -0.267738732482758, 0.623678383652993, 0.956029655147595, -0.282957041950904, 0.282957041950906, 0.956029655147599, -0.282957041950903, 0.282957041950901, -0.267738732482754, -0.615308313445509, 0.267738732482753, -0.608460074184842, -0.600090003977358, -0.615308313445513, -0.940811345679438, -0.615308313445518, -0.956029655147598, 0.267738732482746, 0.600090003977349, -0.608460074184846, 0.623678383652984, 0.956029655147592, -0.282957041950914, -0.940811345679444, 0.62367838365299, -0.267738732482746}","[250]{0.267738732482751, 0.600090003977354, -0.62367838365299, -0.956029655147593, 0.267738732482752, 0.600090003977354, 0.600090003977358, 0.600090003977359, 0.600090003977355, 0.615308313445507, 0.956029655147593, -0.267738732482756, -0.600090003977357, 0.62367838365299, 0.940811345679441, 0.600090003977353, -0.623678383652995, -0.956029655147592, 0.282957041950904, 0.940811345679447, -0.623678383652991, 0.267738732482752, -0.623678383652991, 0.267738732482752, 0.615308313445501, 0.956029655147588, -0.26773873248276, -0.615308313445508, 0.282957041950902, -0.282957041950902, 0.267738732482752, 0.600090003977355, -0.608460074184835, 0.62367838365299, -0.282957041950906, -0.956029655147593, -0.940811345679438, -0.600090003977354, -0.615308313445509, -0.940811345679446, -0.600090003977359, 0.62367838365299, -0.267738732482756, 0.623678383652991, 0.940811345679443, 0.615308313445508, -0.267738732482753, 0.608460074184839, -0.608460074184841, -0.615308313445511, 0.282957041950902, 0.956029655147594, 0.940811345679442, -0.623678383652997, -0.956029655147597, -0.940811345679446, 0.608460074184835, -0.623678383652994, 0.282957041950904, -0.282957041950905, -0.94081134567944, 0.623678383652989, 0.956029655147596, -0.282957041950908, 0.267738732482755, -0.623678383652992, -0.956029655147595, 0.282957041950903, 0.956029655147597, -0.282957041950909, -0.956029655147592, -0.956029655147597, -0.956029655147592, 0.26773873248275, 0.615308313445503, 0.956029655147587, -0.282957041950911, -0.956029655147596, -0.940811345679442, -0.615308313445507, -0.956029655147594, 0.282957041950903, -0.267738732482753, -0.600090003977355, -0.615308313445499, 0.282957041950907, -0.282957041950903, 0.282957041950906, 0.940811345679439, 0.615308313445509, 0.956029655147604, 0.940811345679446, -0.608460074184839, -0.600090003977358, 0.623678383652987, -0.282957041950902, 0.267738732482749, -0.623678383652993, -0.940811345679445, 0.623678383652991, -0.267738732482752, -0.615308313445505, 0.267738732482749, -0.60846007418484, -0.615308313445509, -0.956029655147599, 0.282957041950903, -0.282957041950909, -0.940811345679441, 0.608460074184833, 0.615308313445506, 0.940811345679447, 0.600090003977355, 0.600090003977365, -0.608460074184843, 0.623678383652999, -0.267738732482749, -0.615308313445501, 0.282957041950905, -0.26773873248275, 0.608460074184845, -0.623678383652996, -0.940811345679448, -0.600090003977364, -0.600090003977362, -0.615308313445507, 0.282957041950905, -0.267738732482751, 0.623678383652996, -0.282957041950905, 0.282957041950903, -0.267738732482753, 0.623678383652988, -0.267738732482754, 0.623678383652991, 0.956029655147594, 0.956029655147592, 0.956029655147595, 0.940811345679439, 0.615308313445509, -0.267738732482751, 0.623678383652989, -0.267738732482753, 0.608460074184837, 0.615308313445506, -0.267738732482754, 0.623678383652991, -0.282957041950904, 0.267738732482753, -0.608460074184835, -0.600090003977351, -0.60009000397735, -0.60009000397735, 0.608460074184832, 0.615308313445503, -0.267738732482754, 0.608460074184839, -0.623678383652997, -0.956029655147597, -0.940811345679451, 0.623678383652988, -0.282957041950907, -0.940811345679446, -0.615308313445505, 0.282957041950906, 0.940811345679449, 0.615308313445507, 0.940811345679444, 0.600090003977355, 0.615308313445505, -0.267738732482749, -0.600090003977355, -0.600090003977354, 0.60846007418484, 0.600090003977354, -0.60846007418484, -0.615308313445506, -0.956029655147592, 0.267738732482752, -0.623678383652986, 0.282957041950903, 0.940811345679442, -0.608460074184837, 0.623678383652993, 0.940811345679444, -0.623678383652989, -0.940811345679445, -0.615308313445505, -0.956029655147598, 0.267738732482753, -0.608460074184838, 0.623678383652992, -0.282957041950903, -0.940811345679438, -0.600090003977357, 0.623678383652994, -0.282957041950906, 0.282957041950907, -0.282957041950905, 0.282957041950901, 0.956029655147587, 0.956029655147599, -0.267738732482755, 0.608460074184845, 0.615308313445505, -0.282957041950904, 0.282957041950907, 0.940811345679444, 0.600090003977352, 0.615308313445504, -0.282957041950906, -0.940811345679445, 0.623678383652992, 0.940811345679439, -0.623678383652991, -0.956029655147592, -0.956029655147591, 0.267738732482752, 0.600090003977354, 0.615308313445505, 0.94081134567944, -0.623678383652989, 0.282957041950903, -0.267738732482754, -0.615308313445505, -0.940811345679446, -0.600090003977354, 0.608460074184836, -0.608460074184839, -0.600090003977357, 0.608460074184839, -0.608460074184838, -0.615308313445507, 0.267738732482751, 0.615308313445509, -0.282957041950905, -0.956029655147596, 0.267738732482752, -0.623678383652988, 0.267738732482751, 0.600090003977359, 0.615308313445508, 0.95602965514759, -0.28295704195091, -0.940811345679445, -0.600090003977355, 0.608460074184842, -0.623678383652987, -0.940811345679444, -0.615308313445511}"
"[16]{-0.615308313445506, -0.940811345679438, 0.2829570419509, 0.282957041950903, -0.615308313445506, -0.600090003977355, -0.615308313445505, -0.956029655147596, 0.940811345679446, 0.267738732482752, 0.940811345679444, -0.267738732482749, -0.608460074184836, -0.956029655147598, -0.267738732482758, -0.956029655147598}","[16]{0.267738732482751, -0.623678383652995, -0.608460074184835, -0.608460074184841, 0.267738732482755, -0.956029655147594, 0.267738732482749, 0.600090003977355, 0.623678383652996, 0.615308313445506, 0.623678383652988, -0.615308313445506, -0.282957041950903, 0.600090003977352, -0.615308313445505, 0.600090003977359}"
