sep=,
"ISI-L2"
"Element 1","Element 2"
"[250]{-0.597102530489985, -0.829673998385755, 0.802354419633388, -0.699745114938748, 0.622912495243759, -0.714379600198269, 0.527040120772273, 0.755173039396947, -0.629649425466905, -0.663705934442436, 0.802354419633377, 0.678340419701942, -0.706482045161905, -0.755173039396947, 0.629649425466899, 0.678340419701943, 0.671603489478797, 0.671603489478797, 0.656969004219278, 0.575731115007312, 0.748436109173795, -0.629649425466905, -0.678340419701948, 0.721116530421417, 0.851045413868419, 0.671603489478791, -0.706482045161904, -0.769807524656469, 0.54841153625494, 0.851045413868428, -0.706482045161906, 0.622912495243752, -0.699745114938743, 0.608278009984236, 0.582468045230467, 0.748436109173797, -0.615014940207384, -0.597102530489978, 0.548411536254936, -0.527040120772267, 0.622912495243751, 0.66370593444243, -0.802354419633382, 0.714379600198267, -0.527040120772266, -0.769807524656462, -0.844308483645276, -0.656969004219282, -0.590365600266832, -0.844308483645275, -0.671603489478791, 0.706482045161902, -0.622912495243754, 0.714379600198266, 0.83641092860891, 0.575731115007318, -0.615014940207384, 0.780983004150715, -0.780983004150711, -0.597102530489983, 0.533777050995417, 0.769807524656462, 0.844308483645273, -0.706482045161906, -0.769807524656465, -0.829673998385761, 0.80235441963338, -0.714379600198267, 0.541674606031787, -0.541674606031787, -0.851045413868428, 0.706482045161908, 0.769807524656461, -0.533777050995424, 0.622912495243752, -0.699745114938746, -0.769807524656466, 0.533777050995418, 0.76980752465646, -0.533777050995425, -0.755173039396939, -0.748436109173794, -0.748436109173793, 0.615014940207388, 0.582468045230475, 0.763070594433315, -0.533777050995427, -0.76980752465646, -0.829673998385752, -0.575731115007312, -0.763070594433312, 0.533777050995422, -0.622912495243755, -0.66370593444244, -0.590365600266826, 0.548411536254937, -0.541674606031787, 0.541674606031788, 0.83641092860891, 0.57573111500732, 0.763070594433317, 0.829673998385757, -0.802354419633374, -0.678340419701941, 0.721116530421417, -0.527040120772269, 0.622912495243757, -0.714379600198267, -0.851045413868428, 0.706482045161901, -0.608278009984236, -0.582468045230469, 0.615014940207389, -0.780983004150712, -0.582468045230473, -0.763070594433315, 0.54841153625493, -0.541674606031784, -0.836410928608901, 0.787719934373866, 0.597102530489986, 0.844308483645277, 0.671603489478797, 0.65696900421929, -0.802354419633388, 0.69974511493875, -0.608278009984239, -0.597102530489983, 0.533777050995418, -0.608278009984235, 0.795617489410227, -0.714379600198271, -0.851045413868424, -0.671603489478796, -0.65696900421928, -0.590365600266838, 0.533777050995418, -0.622912495243757, 0.714379600198263, -0.541674606031788, 0.527040120772273, -0.622912495243751, 0.699745114938748, -0.622912495243749, 0.699745114938748, 0.755173039396944, 0.748436109173792, 0.763070594433309, 0.829673998385753, 0.575731115007316, -0.629649425466899, 0.699745114938747, -0.608278009984234, 0.780983004150717, 0.582468045230466, -0.629649425466904, 0.714379600198265, -0.527040120772268, 0.60827800998424, -0.795617489410228, -0.67834041970195, -0.671603489478795, -0.656969004219275, 0.787719934373862, 0.582468045230465, -0.615014940207392, 0.795617489410236, -0.699745114938747, -0.769807524656462, -0.844308483645277, 0.721116530421418, -0.541674606031792, -0.836410928608906, -0.590365600266835, 0.548411536254939, 0.836410928608905, 0.590365600266832, 0.844308483645272, 0.656969004219282, 0.575731115007312, -0.6296494254669, -0.678340419701951, -0.656969004219279, 0.80235441963338, 0.663705934442426, -0.787719934373858, -0.582468045230467, -0.748436109173789, 0.629649425466902, -0.714379600198266, 0.54167460603179, 0.836410928608905, -0.80235441963338, 0.71437960019827, 0.851045413868429, -0.721116530421423, -0.836410928608912, -0.575731115007317, -0.748436109173795, 0.615014940207384, -0.795617489410238, 0.714379600198266, -0.541674606031797, -0.851045413868425, -0.671603489478796, 0.721116530421416, -0.541674606031788, 0.541674606031789, -0.541674606031792, 0.527040120772274, 0.755173039396945, 0.748436109173791, -0.615014940207387, 0.780983004150713, 0.597102530489982, -0.548411536254936, 0.541674606031796, 0.851045413868426, 0.656969004219275, 0.590365600266833, -0.548411536254939, -0.851045413868422, 0.721116530421417, 0.851045413868422, -0.706482045161908, -0.755173039396941, -0.748436109173794, 0.629649425466906, 0.663705934442429, 0.590365600266829, 0.844308483645281, -0.721116530421418, 0.527040120772274, -0.60827800998424, -0.597102530489981, -0.844308483645277, -0.656969004219278, 0.787719934373866, -0.79561748941023, -0.663705934442427, 0.787719934373865, -0.780983004150718, -0.582468045230467, 0.615014940207382, 0.597102530489981, -0.533777050995418, -0.755173039396946, 0.629649425466903, -0.699745114938745, 0.622912495243758}","[250]{0.527040120772274, -0.622912495243752, -0.663705934442436, -0.590365600266837, -0.829673998385764, 0.787719934373859, 0.597102530489983, 0.844308483645274, 0.656969004219281, -0.802354419633386, -0.663705934442438, -0.575731115007316, -0.763070594433315, -0.844308483645279, -0.656969004219282, -0.575731115007315, -0.748436109173795, -0.748436109173793, 0.629649425466902, 0.678340419701947, 0.671603489478803, 0.656969004219282, 0.575731115007316, -0.615014940207386, -0.582468045230464, -0.748436109173787, -0.76307059443331, 0.533777050995421, -0.608278009984233, -0.582468045230461, -0.763070594433312, -0.829673998385752, -0.590365600266832, 0.548411536254942, 0.851045413868426, 0.671603489478798, -0.721116530421418, 0.527040120772271, -0.608278009984229, -0.597102530489983, -0.829673998385749, 0.802354419633381, 0.663705934442433, -0.787719934373862, -0.597102530489983, 0.533777050995421, 0.755173039396947, -0.629649425466905, 0.699745114938752, 0.755173039396942, 0.748436109173791, 0.763070594433313, 0.829673998385756, -0.787719934373865, 0.795617489410229, 0.678340419701951, -0.721116530421419, 0.541674606031792, -0.541674606031791, 0.527040120772271, 0.769807524656457, -0.533777050995419, -0.755173039396945, -0.763070594433308, 0.53377705099542, -0.622912495243756, -0.663705934442427, 0.787719934373863, -0.780983004150712, 0.78098300415071, 0.582468045230468, 0.763070594433311, -0.53377705099542, -0.769807524656465, -0.829673998385751, -0.590365600266827, 0.533777050995422, 0.769807524656465, -0.533777050995422, -0.769807524656466, -0.844308483645274, -0.671603489478799, -0.671603489478803, 0.721116530421413, 0.851045413868428, -0.706482045161912, -0.769807524656461, 0.53377705099543, -0.622912495243752, -0.678340419701944, 0.706482045161898, 0.76980752465646, 0.829673998385754, -0.802354419633383, 0.699745114938749, -0.608278009984232, 0.780983004150712, -0.780983004150711, 0.795617489410225, 0.678340419701946, -0.706482045161902, 0.622912495243755, 0.663705934442427, 0.575731115007317, -0.615014940207385, -0.59710253048998, -0.829673998385756, 0.787719934373861, 0.582468045230464, 0.763070594433308, -0.548411536254939, -0.851045413868427, 0.721116530421423, -0.541674606031793, -0.851045413868433, 0.706482045161905, -0.608278009984232, 0.780983004150711, -0.795617489410237, 0.714379600198263, -0.527040120772273, -0.75517303939695, -0.748436109173796, 0.629649425466905, 0.663705934442438, 0.590365600266836, -0.548411536254942, 0.527040120772271, 0.769807524656467, -0.548411536254945, -0.836410928608905, 0.787719934373857, 0.582468045230471, 0.748436109173795, -0.629649425466906, 0.699745114938746, 0.769807524656461, 0.829673998385752, -0.78771993437386, 0.780983004150713, 0.597102530489981, 0.829673998385754, 0.590365600266834, 0.82967399838576, 0.590365600266832, 0.844308483645283, 0.671603489478797, -0.706482045161894, 0.622912495243752, 0.678340419701951, 0.656969004219278, 0.590365600266829, -0.54841153625494, 0.541674606031791, 0.851045413868425, 0.656969004219279, -0.787719934373864, -0.597102530489987, 0.548411536254942, 0.836410928608907, 0.575731115007317, 0.748436109173791, -0.629649425466906, 0.714379600198265, 0.851045413868428, -0.721116530421425, -0.836410928608911, -0.590365600266836, 0.533777050995424, 0.755173039396941, -0.615014940207386, 0.78098300415071, -0.795617489410232, 0.699745114938751, -0.608278009984235, 0.795617489410228, -0.69974511493875, -0.755173039396944, 0.629649425466904, 0.678340419701947, 0.65696900421928, 0.575731115007315, -0.629649425466899, -0.663705934442424, 0.802354419633383, -0.714379600198265, -0.851045413868423, -0.671603489478799, -0.656969004219285, 0.787719934373859, -0.780983004150716, 0.795617489410231, 0.663705934442426, -0.787719934373868, -0.582468045230461, 0.615014940207386, -0.795617489410227, -0.678340419701946, -0.671603489478796, 0.721116530421417, 0.836410928608906, -0.787719934373863, 0.780983004150712, 0.58246804523047, 0.74843610917379, -0.615014940207385, 0.780983004150713, -0.780983004150711, 0.780983004150716, 0.597102530489988, 0.844308483645273, 0.671603489478799, -0.721116530421418, 0.541674606031786, -0.527040120772268, 0.608278009984232, -0.780983004150709, -0.582468045230464, 0.629649425466909, -0.699745114938748, 0.608278009984236, 0.582468045230464, -0.615014940207386, -0.582468045230469, -0.763070594433313, -0.844308483645276, -0.671603489478801, -0.656969004219278, 0.802354419633378, -0.699745114938751, -0.755173039396945, 0.615014940207385, 0.597102530489984, -0.548411536254943, 0.52704012077227, 0.755173039396941, -0.629649425466901, 0.714379600198274, 0.836410928608919, -0.802354419633376, 0.714379600198272, -0.541674606031787, -0.851045413868429, 0.721116530421423, -0.527040120772277, -0.769807524656466, -0.844308483645278, -0.656969004219275, -0.590365600266839, -0.829673998385755}"
"[16]{-0.597102530489985, 0.671603489478797, -0.699745114938743, -0.590365600266832, -0.769807524656465, -0.755173039396939, -0.541674606031787, 0.615014940207389, 0.533777050995418, 0.699745114938748, -0.67834041970195, 0.590365600266832, -0.80235441963338, -0.541674606031792, -0.706482045161908, 0.787719934373865}","[16]{0.527040120772274, -0.748436109173795, -0.590365600266832, 0.699745114938752, 0.53377705099542, -0.844308483645274, 0.780983004150712, 0.721116530421423, 0.769807524656467, 0.590365600266832, 0.575731115007317, -0.69974511493875, 0.663705934442426, 0.780983004150716, -0.763070594433313, 0.714379600198272}"
