sep=,
"Signal Constellation"
"Element 1","Element 2"
"[250]{0.69588272160134, 0.708280499668746, 0.69948780597248, -0.715946380063456, 0.69492486178731, 0.710358781565748, -0.723369663443566, 0.710300942249792, -0.705205086623596, 0.691775995998653, 0.696333888950954, -0.717695477773718, -0.718475859086268, -0.717659970069948, 0.708327833811934, -0.718458228072708, -0.712481268900529, 0.696615833378977, -0.700764827617723, 0.713685011938032, 0.689438701234501, 0.691064757213852, -0.702505808421689, -0.729203958750355, -0.6988825925104, -0.699116792288267, 0.685926623960057, 0.68872154251532, -0.703665569254347, -0.707407236570484, -0.706913181501515, -0.698535388340659, -0.728534301579285, 0.684390492639798, 0.684634638929034, -0.690944371171658, -0.704043183241754, 0.715277817518867, -0.691901308725546, -0.696203846384891, 0.69061320973084, 0.719495755940313, 0.721005862296232, -0.703999078137143, 0.693056932463391, -0.702721443179355, 0.698953635610901, -0.722962661844815, 0.696378934359394, 0.699617470268825, -0.719704190024488, 0.717352805021334, 0.70677378750004, 0.690438872872286, -0.702729538271166, -0.724966303893542, -0.700710424637736, 0.713746242249534, 0.685337210136796, 0.711065452656218, -0.701527707132702, -0.732175776928157, 0.712241736115359, -0.703507924597317, -0.706336490772555, 0.691179770316081, -0.704638256496841, 0.716250468632533, -0.727441167999513, 0.688969092012186, -0.72122435084056, -0.719399532161451, -0.720171754535846, 0.715517514248018, 0.697864522912055, 0.712638471135483, -0.709456247029249, 0.692815963644311, 0.710970105426868, -0.719800620535413, -0.701083141590068, 0.712691959722489, 0.704927053348511, 0.713899151028828, -0.706377818661991, 0.695744468906081, 0.712255838163997, 0.693582012609514, -0.697332789241977, 0.691981384375458, 0.720585861680565, 0.692881603023594, 0.717146648920028, 0.698686877935879, 0.69764694476125, 0.690042048462061, 0.695821676202958, -0.722991253468334, 0.688105752813697, 0.722326503105271, 0.686450058948025, 0.717065194256475, -0.723367532070486, 0.697724421763308, 0.710500492279855, 0.688859171238592, -0.7036795292022, -0.726379313610622, 0.710212272051869, 0.705946336734411, 0.703187757155989, 0.70683079783671, -0.711197371248953, 0.694562229751566, 0.701548422515805, -0.719082880503968, -0.712967464176935, -0.713799075651245, 0.696459980527681, 0.703983838207469, -0.723719631531169, 0.705805201684745, -0.718289382379847, 0.700948692397582, -0.718829496072084, 0.699742473257951, -0.717770782186988, -0.716167603794121, 0.700099433953941, 0.715279554008448, 0.710255104243602, 0.709575912791779, -0.724295780770689, -0.734082192172541, 0.711920111420979, -0.713331497717695, -0.709217804447645, -0.725189336811186, -0.710600697442364, 0.691558474329086, -0.72313651397149, 0.711608058285286, 0.687336172512484, -0.719976285424248, -0.713261305894493, 0.706440061817567, -0.713648724662747, -0.70585253514797, -0.720824316193924, 0.708472217118695, 0.697908081394306, -0.706004509529632, 0.709717718131744, 0.706661856712746, 0.697400772251648, -0.708920863704264, 0.697042119575343, -0.706104395758672, 0.70957022885963, 0.707317768361769, 0.69953753454593, 0.709227970423023, -0.723089308817494, 0.702090393433456, -0.714337585473544, 0.695619651605745, -0.72504680515044, -0.724904077277843, 0.695714446098332, -0.704405137840041, 0.707289526577496, 0.690307264029839, -0.723283410829405, -0.715871832235753, -0.716007760989165, -0.713092818129961, -0.719009786136542, -0.723567032952762, 0.693772153052694, -0.722920510164976, -0.695437733476389, 0.684282964318297, 0.719875198504144, -0.700123730678106, 0.710283058093258, 0.716748063932219, -0.724482554542615, 0.709083981308221, 0.717094982424623, -0.726358322760626, 0.710961664290229, -0.709413134450736, -0.723466839575184, 0.697176352523049, -0.717425846667113, -0.716516430767004, -0.73025491031782, -0.710059495779455, -0.72188834550502, -0.719638628585853, 0.695175198642909, 0.698068428206206, -0.705716419189787, 0.704666494384081, 0.707338301734123, -0.720613264427878, -0.708277963846426, 0.714195094398308, -0.709056072066783, 0.717531027718996, -0.724955559393038, 0.691920546595349, 0.688732115958259, -0.722343613416867, -0.695904590362833, 0.711094584739806, 0.711325416336692, -0.695583237828198, -0.709478770163023, 0.71915840114458, 0.712751958663631, 0.714453738633371, 0.716883886595189, 0.694350212945282, 0.690455798964994, 0.692030974848139, -0.719314662812788, -0.724268139231223, 0.717068877475414, 0.708482004330119, 0.710136517172829, -0.701500665310462, -0.725753701030936, 0.710961081952642, 0.717101452191351, -0.708719766765797, 0.714410536501246, -0.704291118975698, 0.695264414457477, 0.690595685253085, 0.695224190929019, -0.703084719259896, -0.72415166228447, 0.708933401060128, -0.705139191074237, 0.70296383085587, 0.695404015163541, -0.719629569777713, 0.708359150784316, -0.715062362390186}","[250]{0.721353873866487, -0.695696933881377, 0.719166999758866, 0.697472192709943, 0.722588760467512, -0.698420988118788, 0.700760846121767, -0.687627123497824, -0.705170499576257, 0.718148720850647, 0.708885374655286, 0.710669624563074, -0.703412448317517, -0.702077092329556, -0.699780974261057, 0.708391792741679, -0.706419637976847, 0.718714587303787, -0.708654916028569, -0.688721879861863, 0.717646453039897, 0.722273272420618, -0.713848352500902, 0.699788175804768, -0.712943263553182, -0.709274067995427, 0.720216574492387, 0.720006892326156, -0.712321688875061, -0.710820312916113, -0.70708828343326, -0.70751336860233, 0.697081097871443, 0.724013609074474, 0.72536701801294, -0.720673530050786, -0.72054614017937, -0.68190283485386, -0.711944742800413, -0.718720420262154, 0.725390140533308, -0.693101852466855, -0.686544358328014, -0.722757732939284, 0.732826017679656, -0.717453295992033, 0.728484142274127, 0.705339455489127, 0.721707089718352, 0.71837779811036, 0.694852423345177, -0.681138675078586, -0.69611754239737, 0.723593013976148, -0.715757894616375, 0.694774298888494, -0.706772929837147, -0.693141875737814, 0.716201552090568, -0.687761377737631, -0.720963875214731, 0.694520989426427, -0.685792644974367, -0.707438710196944, -0.711823696607484, 0.726420191524106, -0.709784210515208, -0.678401150108392, 0.699245017671184, 0.72688927929274, 0.707155477836684, 0.709486273539584, 0.71573799529887, -0.696830595763972, 0.711920520053049, -0.694221383081764, -0.711578490028082, 0.723024419968187, -0.693210713695453, 0.697929122137358, -0.710467947979893, -0.690621468175732, -0.696953408980402, -0.688067620325047, -0.710932607597113, 0.724518619013608, -0.691329260426006, 0.723269653359468, -0.713753389659528, 0.727057014862454, -0.693570011581274, 0.724126025776649, -0.687166367974627, 0.72535915859727, 0.722891595032573, 0.723989612294862, 0.72480548459732, 0.692544422137008, 0.727124579032557, -0.696736431228555, 0.72684776898025, -0.685725388386445, 0.697088678468069, 0.724353819604125, -0.693348259752575, 0.723187116596859, -0.711158113658419, 0.699225930766555, -0.693125362056638, -0.69946070659144, -0.696101016429249, -0.69499848590418, 0.702050059357699, 0.717284199171783, -0.705490576268244, 0.70863509629221, -0.699338843150543, -0.700257781295436, -0.700303999921531, 0.704530766318857, -0.703336376874889, -0.690851358057533, -0.698012325178802, 0.717266945487134, 0.709246921108198, 0.72198472115801, 0.707084962365218, 0.69978756363105, 0.722324784342915, -0.700288293877243, -0.686901790142186, -0.689307892533933, 0.697385107375723, 0.696892881360298, -0.691320249355725, -0.706336502053052, -0.712269006087208, 0.701962831598738, -0.709399053640929, 0.723510365473871, 0.700323570707112, -0.682840687341359, 0.716573556278083, 0.701051344981045, -0.708517526655412, -0.693948833506347, -0.701464097686331, -0.708131288887433, 0.708510294458997, -0.692894097342609, 0.716275562315467, -0.708869119248234, -0.685317394258581, -0.696111370670064, 0.72002898827786, -0.706612454908829, 0.72032325990053, -0.701713232572121, 0.721540614939051, 0.711304166337922, 0.719682633112599, -0.693403532371736, 0.700310879653961, 0.722185749555722, -0.70649269677281, 0.723623102303557, 0.702990572954707, 0.700308822802154, 0.722945460812704, -0.709181958919508, -0.685230183920751, 0.716821674032358, 0.702066775769098, -0.705818271287326, -0.699446356634973, -0.69907415740012, 0.711698068485108, 0.704204424101994, 0.721306095628367, 0.700492078383106, -0.717922582098287, 0.724031557957274, -0.687846229437605, -0.717558898735823, -0.682407717518674, -0.68952165210228, 0.695333106143004, -0.683826080559952, -0.696569755439389, 0.700533301757111, -0.688804105837387, -0.704792018143847, 0.705580903045998, 0.717324803667768, -0.700561947392607, -0.702388773440103, 0.714692218163189, -0.705960693742452, 0.71161134044846, 0.706473571877983, 0.716527672589219, 0.71688033069325, -0.713511632324449, -0.683946885071198, -0.695676190435667, 0.698655282555747, -0.708231205808863, -0.690618955121212, -0.708503575012878, -0.682872233099808, 0.697859519331855, 0.72670485289666, 0.720587973059654, 0.694552753480658, -0.711703074718011, -0.685311905956141, -0.687748353848208, -0.716953562332783, -0.714613607353115, -0.694253346159553, -0.694562312608869, -0.688546188166468, -0.689724298775215, 0.725995755862318, 0.728286096870213, 0.729896067203813, 0.697218458987241, 0.698175696625997, -0.688176813874081, -0.692228066615162, -0.684791840132456, -0.716441676609173, 0.697131287959654, -0.689887239763201, -0.688997653731222, -0.716428161960916, -0.682564984462597, -0.707353426794557, 0.725432770975397, 0.714592651037814, 0.72490256514027, -0.711574115345457, 0.704705031590395, -0.693974100515722, -0.704091145206821, -0.686414537252355, 0.711513042238302, 0.701121789864918, -0.694459486642032, -0.703181454206145}"
"[16]{0.69588272160134, -0.712481268900529, -0.728534301579285, 0.696378934359394, -0.706336490772555, -0.701083141590068, 0.695821676202958, -0.711197371248953, 0.700099433953941, -0.713261305894493, 0.69953753454593, -0.719009786136542, -0.723466839575184, -0.709056072066783, 0.690455798964994, 0.695224190929019}","[16]{0.721353873866487, -0.706419637976847, 0.697081097871443, 0.721707089718352, -0.711823696607484, -0.710467947979893, 0.72480548459732, 0.702050059357699, 0.722324784342915, -0.708517526655412, 0.719682633112599, 0.711698068485108, 0.705580903045998, -0.708503575012878, 0.728286096870213, 0.72490256514027}"
