sep=,
"Signal Constellation"
"Element 1","Element 2"
"[250]{-0.731347304291703, 0.719820823926262, 0.721754779606552, -0.697920462049582, 0.723629978660352, -0.69451240026612, 0.688632287757113, 0.684151336219927, 0.686026799107399, -0.696132514767284, -0.732644397369912, 0.720868782176763, -0.700254868783248, 0.717209313643868, 0.689462622429082, -0.728475186468182, 0.716042498359144, -0.706836064880453, -0.73155773519655, -0.731249704668803, -0.706334012410008, -0.730111641371974, -0.728157786532789, -0.730931821082623, 0.691263976532404, -0.730310870052621, 0.721183190070309, 0.682981631233139, 0.6906451748222, -0.696070825231685, 0.684941801910114, -0.695168788479712, -0.723108937193029, 0.688279112793843, 0.715229345663648, 0.71671223747405, -0.697103389969435, -0.730527413441305, -0.698200118962722, 0.724959320844571, -0.737102327215736, 0.722990440635973, -0.734115242473366, -0.727645571301153, 0.681336010642885, 0.722639276377734, -0.706870352204204, 0.71582533522483, -0.699825549965373, -0.72448477324292, 0.688546407776887, 0.712620161199757, -0.702154075791202, -0.69912587649801, -0.69818675214938, -0.700387256824831, 0.689789474173618, 0.687366437276298, 0.719747300563228, -0.696888871855959, -0.735184850286773, -0.699589980603641, -0.700244868523107, -0.730907420994656, 0.690109108026346, -0.728289618704255, -0.698870793173537, -0.730149381007121, 0.719961692181731, -0.722176738353196, 0.71962159531634, 0.691560033985177, 0.696985316416569, 0.713469553317933, 0.69140259902336, -0.717486950191635, -0.726105657101049, 0.71402907397076, -0.706583270200113, 0.713195485015048, -0.724472685021161, -0.720116297989168, 0.694868737800784, -0.705659130174862, -0.70548517801863, 0.690934371615572, -0.702573160789192, -0.699326343204816, -0.730390863911917, 0.715690018242145, -0.723367744347753, -0.693372156895537, 0.692509984836173, 0.714611265337232, 0.717938490260667, 0.715842703215319, 0.69558714797284, -0.725936611303313, 0.692531508769462, -0.702672701928149, -0.724286063803305, 0.691847350773879, -0.701234153779295, 0.711051776962225, -0.72482144170124, -0.726397436985989, -0.726322685529957, -0.701042759618321, -0.726547188979703, 0.701097156358482, -0.72606781913318, 0.716605222087772, -0.721916969150733, 0.700517780426961, -0.722603993365406, 0.698224271953422, -0.721241397793722, 0.696420287099444, 0.695642533355116, 0.695621910717372, 0.724228417635399, 0.682490682417196, 0.688825042826698, -0.729879495439759, 0.687356032332351, -0.696061248222969, 0.683541005979382, 0.682097942289497, -0.736493372076822, 0.726465745438757, -0.69751669998112, 0.6810933257418, -0.730480920144121, -0.732064364334521, -0.732117588781083, -0.698029902495586, 0.686780410307195, 0.694479388202151, -0.700814334261616, 0.71383021354413, -0.707508772246633, -0.718761069696819, -0.72693310331082, 0.709117936693116, -0.720472145964567, -0.705542497318786, -0.717189252890776, 0.711101899206684, 0.698876319858874, 0.711478559089629, 0.713171834688019, 0.694923606948821, 0.697663395865759, -0.721707716068813, -0.721548534944998, -0.703073578210608, 0.714728136007205, 0.687970682439115, -0.700749314166359, -0.697678393813187, -0.703628151116697, 0.71823699615923, -0.729252239029564, 0.719292857356066, 0.700792598010169, -0.721863661887492, 0.712843450883784, 0.71045670276185, -0.72074806388049, -0.712765731475184, -0.706418533610416, -0.712519937762423, 0.696679106638361, -0.726138807387658, 0.716580978685543, -0.725958587891943, -0.722056448465424, -0.730022411834877, 0.721250493524995, -0.733112407423534, 0.723392709700478, -0.726182287206093, 0.689211516614295, 0.688244043722951, 0.692890808026507, -0.694842464690503, 0.685779460073304, 0.724833652434439, -0.729730952966618, 0.723373482755767, 0.718384757651481, 0.688497143230212, 0.71894200338601, -0.720201848962013, -0.721654880611321, 0.711055592231254, 0.711793106323739, -0.709391203166948, -0.708046483200179, -0.709364534898592, 0.715010691125847, 0.694305195508238, 0.717336158532, 0.715980722595197, -0.725368415446445, 0.691321140198793, -0.704072712279312, -0.725317592777242, -0.728102109083235, -0.702817620035307, 0.692352533126701, -0.725293789508811, -0.700863471919668, 0.686140285013503, -0.697204873659322, -0.698870298354722, 0.688113465426058, 0.714405570807028, -0.702354605636805, -0.707474672552529, 0.712054349070432, -0.706210420776312, 0.716045325491598, 0.705433072464055, 0.700447960867296, 0.71039433876796, -0.723352257645218, -0.718559339898057, -0.712360673883701, 0.708559871047224, -0.724988550729055, -0.701614183080955, -0.726115122845669, -0.701928623656842, 0.691354333418464, 0.69378827424173, 0.718326152500601, 0.718855739266462, -0.728825640789939, -0.730205561726423, -0.702011800371643, -0.701510775608596, -0.72771273836194, -0.72887907740326, -0.726457523271595, -0.724639995680952, -0.720121798047462, 0.695697254838602, 0.696796504330813, 0.722018870539575}","[250]{0.698664366814164, -0.684343295681925, -0.685558445029723, -0.720186028022022, -0.681911959531522, -0.715299849201412, 0.731265292437203, 0.723939919288916, 0.733006151985185, -0.717456614615634, 0.698883191172879, -0.686235289732131, -0.709989683449017, -0.689265909852258, 0.721245070541241, 0.694169502025439, -0.682318723911662, -0.712908261256762, 0.704380512215178, 0.710177551720406, -0.71047938188859, 0.706966948012417, 0.700954190058441, 0.702841076218075, 0.728362045407581, 0.698337602215669, -0.682904833846647, 0.724874340516581, 0.730965829535848, -0.723564914751712, 0.732152937212849, -0.710685574205413, 0.698909025087317, 0.717945402455933, -0.689027145076902, -0.683381926988374, -0.719761678034506, 0.697703055642482, -0.716103811270451, -0.68219850079193, 0.696013542389554, -0.680859483276092, 0.700239971811016, 0.69258117641722, 0.727534086382719, -0.685888844001147, -0.71594824533414, -0.690388211328682, -0.710993193869805, 0.697886338518322, 0.722294936789875, -0.692010218270966, -0.712801925943, -0.711580894695825, -0.711869489201595, -0.712817582394231, 0.724356607100201, 0.723036769580322, -0.677646127462539, -0.716462625931122, 0.696859312333276, -0.711028945739676, -0.713562008140035, 0.70211594591948, 0.724193860011033, 0.706185932741113, -0.708393568977407, 0.706811287134827, -0.691044965321097, 0.704838006481149, -0.689855607805894, 0.720659658010877, 0.724311179107147, -0.68655336593863, 0.720286458117665, 0.707580488919519, 0.709068768429266, -0.697087616975023, -0.70725211176022, -0.693467965579815, 0.708113071756393, 0.707190684208442, 0.721083360970473, -0.703451765598424, -0.708316905945469, 0.718538028936839, -0.706126517778427, -0.711243824541006, 0.706231957304426, -0.692182724160261, 0.705308509781125, -0.712590845316079, 0.725078515683153, -0.695255340776577, -0.691794072107163, -0.689509385120965, 0.729018503845702, 0.697961492154501, 0.726776600901236, -0.70864424856704, 0.704698016619546, 0.718175123085419, -0.708108708061589, -0.689069650049008, 0.701741782542094, 0.709798888406152, 0.712868586477313, -0.70582257615548, 0.710908603309126, 0.717046380179831, 0.714337709635198, -0.692104468146656, 0.710720565315293, 0.722730066216513, 0.711519442628653, 0.72597057728181, 0.701053687287859, 0.723354984861539, 0.716956308743574, 0.726964248182632, -0.686223247953722, 0.726775803268061, 0.728993849682136, 0.692779843971755, 0.731656694984224, -0.719677762079387, 0.73336576138085, 0.727213060161387, 0.692842855906953, -0.678981620695952, -0.718509482643204, 0.729050225926625, 0.6933217745478, 0.69360897549302, 0.703181398278005, -0.713863060707841, 0.723239698686266, 0.724168461219457, -0.714491364851307, -0.690750960233283, -0.710221040112549, 0.7088353678447, 0.710101114112451, -0.698009654958232, 0.707714013913791, -0.703566201939622, 0.713680469777386, -0.702415969184143, 0.713386918026026, -0.697240897939034, -0.70006070852227, 0.716784687109126, 0.717900759058033, 0.701616162743276, 0.700305022664588, -0.709334104742812, -0.690763885044705, 0.722462079007469, -0.717666134641507, -0.717495644513574, -0.715237240319438, -0.690129430373819, 0.699817438520975, -0.687158664788586, 0.723599168234596, 0.706921565875209, -0.694046466009829, -0.700153959636609, 0.707191117990789, -0.707749774614331, -0.702309291234885, -0.706934826914955, 0.717547127373264, 0.708981858080645, -0.687631899976332, 0.709586913635355, 0.705397034502818, 0.705968067123924, -0.691022278446092, 0.700546776458168, -0.683554318678697, 0.699792153953193, 0.730414350197771, 0.720960325205597, 0.729815004869075, -0.717643647250149, 0.726661095883175, -0.687866049990655, 0.697103739731718, -0.686770886388745, -0.692664222244754, 0.721114336764873, -0.691472000003745, 0.708083271607261, 0.705832371864854, -0.695408747266375, -0.696962856814538, -0.71246748820424, -0.711917538070526, -0.710280283350812, -0.69913211459572, 0.716663483113644, -0.692249340019617, -0.689243785938137, 0.70197253715975, 0.724116576364583, -0.711284028622813, 0.70119911738016, 0.705453563288327, -0.708077551671721, 0.721481411012492, 0.7037032686989, -0.714427368793089, 0.723733296485108, -0.714803592725632, -0.7147027978761, 0.715834293988465, -0.692853762273944, -0.710899883346063, -0.714062304038999, -0.697532751277399, -0.708485290241441, -0.700356008256, 0.711465688824618, 0.716054984304077, -0.697061632836826, 0.707613563363955, 0.710622031209308, -0.703781781461925, -0.700568908927736, 0.707669990964258, -0.710753742048985, 0.706868856145822, -0.71087069667313, 0.724092473866968, 0.719797957151898, -0.684016360525082, -0.689739809894119, 0.697370794815074, 0.702519923436619, -0.714043009693201, -0.712319912394158, 0.702200186238506, 0.703522474205192, 0.707607782349932, 0.703284359194734, 0.702766435045185, 0.721948878181, 0.723642949635658, -0.687854527975127}"
"[16]{-0.731347304291703, 0.716042498359144, -0.723108937193029, -0.699825549965373, 0.690109108026346, -0.724472685021161, 0.69558714797284, -0.721916969150733, -0.736493372076822, -0.720472145964567, -0.703628151116697, -0.722056448465424, 0.71894200338601, -0.728102109083235, 0.700447960867296, -0.702011800371643}","[16]{0.698664366814164, -0.682318723911662, 0.698909025087317, -0.710993193869805, 0.724193860011033, 0.708113071756393, 0.729018503845702, 0.710720565315293, 0.692842855906953, 0.707714013913791, -0.715237240319438, 0.705397034502818, -0.691472000003745, 0.705453563288327, 0.716054984304077, -0.714043009693201}"
