sep=,
"ISI-L6"
"Element 1","Element 2"
"[250]{0.686589479028477, -0.700425913663576, 0.681785908597684, 0.706074156606019, -0.717742425889219, 0.730582599682612, -0.697629257045279, 0.702585025908477, 0.705612827316363, -0.732710303564952, -0.709657032751134, -0.686808835836057, 0.727082345854119, -0.700463717335304, -0.707880417109251, 0.69437461378659, -0.701770073736438, 0.69874583628884, 0.723154313549303, 0.690052341272193, -0.710934685203416, -0.711306155781695, -0.67964707751626, -0.703549622070367, 0.707691179767281, 0.695158495130993, -0.721389017388789, -0.699984869605532, -0.669974914370665, -0.686715700604974, -0.706106866691812, 0.689515345774481, 0.676006745494944, -0.718352737897179, -0.686557578531405, 0.740786852596823, -0.694499842322591, -0.701458428520989, 0.709641841105455, 0.69723784782651, 0.687077172254034, -0.682959015247351, 0.717962978320774, -0.694352021042673, 0.673997259038553, -0.697279616563779, 0.681002561524415, 0.698214923084848, -0.725789501756153, 0.714532025290483, 0.716168789413813, 0.708228175264986, -0.691782935567367, -0.714342435273304, -0.693074368590388, 0.698494578984189, 0.7094498068066, 0.699806933301821, -0.70126252205782, -0.694472234316306, 0.71936084404669, -0.715218286105176, -0.698422149029379, 0.723069132179582, -0.704806353228045, 0.685318545214714, -0.687607453418178, 0.697836482989814, -0.715583123374253, -0.731432651112662, -0.70087817984783, 0.703826435800465, 0.698067101804936, 0.711560778706358, -0.69737799974063, 0.716289532651185, 0.711576702329071, -0.726288314976685, -0.69438980543227, 0.712199085726897, 0.715413681819312, 0.706228921890083, -0.685995294738964, 0.704535687246649, 0.707692180011882, 0.675755886077869, -0.692631178392954, 0.701129056855383, 0.719446025416419, 0.679640408395062, 0.718130588574535, 0.693344915137768, 0.708375996544904, 0.683672751992169, 0.691542075079514, -0.715335169570784, 0.70321073911432, 0.706496626268218, 0.691394253799592, 0.722015110891724, -0.708699285916791, 0.706617369505584, 0.694742780863681, 0.687509731482406, -0.688746656075765, -0.700915144199174, 0.717687398377104, 0.690710437266577, 0.71409824497743, 0.719933428632792, -0.695749886768591, 0.694863524101055, 0.690858258546495, -0.723252035485084, -0.680962514358142, -0.689845115327663, 0.713655054779992, 0.701580483719263, -0.706121790069925, 0.699023051957416, -0.68164357840547, 0.704258471578071, -0.700315896055385, 0.667575270450287, -0.712546843882639, -0.718005360038532, 0.709883587119655, 0.696042294082848, 0.702715539975763, 0.731687274037328, -0.6918653644514, -0.707180676953512, 0.689099631507169, -0.712182006613565, -0.684994857955247, -0.678975068874981, -0.706564980267364, 0.680670107043886, -0.707733948749141, 0.692323847700585, 0.707887086230448, -0.708955580290765, -0.699266021168607, 0.710525640057297, -0.691463562830983, -0.688031137446859, -0.692402359949106, 0.695479220787195, 0.682428734083206, -0.703085510578323, 0.712450343031547, 0.729118188562017, 0.696474329860449, -0.695667457884559, 0.687701765781262, -0.691315741551068, 0.68742455011268, 0.713482150403708, 0.6732184198068, 0.702863361255675, -0.705663006425184, 0.720044660579714, -0.707301420190875, 0.685751104443086, -0.693395094246588, -0.721041639530143, 0.696456296045529, -0.714719472884639, 0.710499681693375, 0.727038835866493, -0.711991859782371, -0.712693312242738, -0.700236126910179, -0.683679421113368, -0.692679575617687, -0.712528855280075, 0.674248118455623, -0.723001176068008, -0.70668407386237, 0.719555750265255, 0.712876215548233, -0.711082506483335, 0.726044124680812, 0.721248865474671, -0.709454393511293, 0.704618116130685, 0.700530421692085, -0.706418114019692, 0.718045407204807, -0.701513779362467, -0.708176741059008, 0.713396969033976, -0.721640274693439, -0.713689376348237, -0.675938789383373, -0.693137689193236, -0.721374094010672, -0.709492575788466, 0.68767540952975, 0.687760590899477, -0.714468215579992, 0.724204188436084, 0.733002710879206, -0.705569871194106, -0.697426084923876, 0.698771794652769, -0.695348085148176, 0.714013063607702, -0.690643732909792, 0.684409191915677, 0.686461077680313, -0.729674024073342, -0.696229741677005, 0.723952931131429, 0.719298204136498, -0.695815279164471, -0.687753921778283, 0.715605716118157, 0.703659836414773, 0.702344399572892, 0.716048906315597, 0.706294314285967, 0.696622151140369, 0.679788229674981, -0.719219691887974, -0.707551027853168, 0.714280767985835, 0.70246428267111, 0.71798276729462, -0.682110772421773, -0.697508513807913, 0.705933552972561, 0.686825914949382, -0.696663521990061, 0.727717570350404, -0.684679857897077, 0.690831180503948, 0.701728304999174, 0.669333897489609, -0.707898405711809, -0.69787886470757, 0.731114689451225, -0.71133376378799, 0.712339617938109, 0.715284990461961, -0.715876382099559, 0.689350888811825, -0.698477499870864, -0.694749449984882, -0.688647232020578}","[250]{0.709373012883643, 0.708364583404765, 0.701009513502237, -0.703361869975762, 0.72027756995639, -0.694826281681951, -0.723275557637539, 0.715223973929096, 0.697106908923711, 0.707022358529526, -0.702375864766332, -0.716834779688499, -0.709124942982514, 0.698030407911093, -0.696344346375695, 0.691127899205311, -0.703287282159048, -0.698083589430439, 0.718394834059685, 0.711484037646241, -0.707249948568841, 0.707514137223118, -0.725766909012236, -0.727503006939596, 0.712600690611095, 0.708860754328244, -0.695496103164305, -0.695004324470719, -0.718395368716625, -0.729063595967721, 0.692662037625892, 0.70349238404304, 0.704340627254428, -0.681791596421602, -0.696899682979181, -0.712161222474119, -0.721799867174057, -0.697690371993011, 0.699110078934116, -0.707507468101913, -0.687357807981783, -0.678191721801716, 0.699838003743656, -0.728745634306285, 0.706330230771854, 0.70478914752157, 0.705780897880702, 0.703041114035262, 0.717264812617239, -0.698037077032296, -0.703336904652328, 0.720592344214302, -0.702729821495023, 0.693809630480403, -0.723871550503778, -0.718018686139759, 0.721431113551294, -0.681491655290652, -0.699878408273232, 0.705953548194984, -0.729987094955101, -0.716777225490936, -0.683985865250304, 0.697214720425659, -0.716991788901751, -0.696188230921979, 0.712160687817182, 0.704220308852579, 0.683102461050056, 0.711896442332035, 0.686081186344103, -0.706218328337072, 0.709986881167493, -0.671037323105286, -0.703340460928226, 0.712187694437488, -0.722723366161438, 0.70567633291221, -0.694393685037523, -0.721054965631367, -0.698399161533856, -0.682837680907966, -0.691896228544419, 0.701733362252121, -0.719261313506449, 0.715160653712047, -0.685563262097329, 0.701398592771778, -0.70880698132108, 0.711698601057055, -0.679329115854826, 0.708662321565445, 0.713646577082071, 0.701290781269834, 0.715207166110197, 0.7055109672127, 0.704481384661544, -0.710708444947948, 0.722152933242422, -0.682791168509818, 0.699178000765607, 0.704816154141872, -0.721162777133313, 0.725614985897419, -0.68902531475232, 0.691914271971949, -0.717637404261273, -0.710754957346092, -0.668921296067604, -0.685873960399575, 0.701079464392478, 0.694361821956503, -0.717700724478321, 0.719380839654912, -0.696289043545986, -0.730539286431204, -0.707229584474054, 0.707514728710931, -0.687513923435495, -0.699224510413586, -0.707669587267966, 0.702874283235272, 0.691084640778867, 0.707676256389164, 0.69680696779276, 0.710001083823573, 0.692315332586602, -0.698954599543409, -0.680365528451408, -0.675419628214205, 0.697617411737482, 0.684877501156667, -0.726531147418517, -0.703072718748229, -0.685881223758761, 0.687730399625821, -0.725822211841948, 0.694164178696916, 0.716542992926107, -0.696737563813123, 0.710412654330872, 0.715704223589109, -0.717975730017501, -0.708705274937538, -0.708095360431345, -0.699585730501469, 0.689625758134279, -0.716337891042109, 0.702994601637115, -0.673809416692792, -0.701119868922049, -0.701435441025465, 0.710138012028928, -0.699267768840032, 0.703293951280246, -0.715041127563582, 0.704434872263391, 0.711023293764071, 0.713044626674371, -0.687311295583635, 0.712882507508317, 0.702920795633416, -0.730647097933155, 0.716784562957218, 0.701327094866574, 0.696296577080862, 0.694210691095065, -0.70518874578591, -0.687629257245077, 0.714932781404695, 0.701999716846406, -0.716080371509038, -0.714939421180034, -0.715359089225016, 0.690766679117434, 0.694008063243206, 0.695510204314232, 0.708560813197295, -0.692517377870261, 0.699686872882213, -0.700515188571532, -0.700304181436616, -0.680787998499406, -0.715351825865826, 0.704115743884083, -0.698613870980389, -0.710329184182705, 0.717820250626791, -0.70050922948885, -0.719813504982544, 0.708989827686595, 0.68984318013005, -0.715431199873623, -0.69196804497911, 0.701434906368528, -0.727717570350409, 0.684679857897078, 0.707712569985907, 0.693614845805768, 0.714794959439793, -0.685253649076594, -0.690665536736676, -0.704897493680459, 0.700653691229093, -0.708098191780231, -0.719159607122906, -0.70463330777636, -0.690101409701626, 0.698456181074481, 0.706115667361039, 0.69258678184989, 0.720726865272226, -0.704271223274793, -0.710600633445995, -0.701861214188849, -0.692322001707807, -0.700726651484619, -0.720720196151033, -0.708853493719224, -0.679375628252971, -0.682411907744581, 0.710563785192315, 0.7031922448967, 0.704752833924827, 0.708973019867694, 0.698247238419037, -0.717972173741608, -0.700300625160727, -0.672383348722593, -0.695358281199412, 0.69224904145228, -0.728091736446644, -0.707292904691097, -0.675155442310106, -0.69313768919324, -0.721374094010674, 0.704769641743727, 0.700568961578703, 0.716506679329363, -0.693545441826141, 0.705618778714649, -0.719532762769732, -0.720239278145931, -0.6777517190078, 0.704478449219319, 0.705461769501398, -0.7065960507092, -0.706108998239841, 0.707094469178129, 0.680358859330208}"
"[16]{0.686589479028477, -0.701770073736438, 0.676006745494944, -0.725789501756153, -0.704806353228045, 0.715413681819312, 0.70321073911432, 0.690858258546495, 0.702715539975763, -0.691463562830983, -0.705663006425184, 0.674248118455623, -0.721640274693439, -0.690643732909792, -0.719219691887974, -0.69787886470757}","[16]{0.709373012883643, -0.703287282159048, 0.704340627254428, 0.717264812617239, -0.716991788901751, -0.698399161533856, 0.704481384661544, -0.717700724478321, -0.680365528451408, -0.708095360431345, 0.712882507508317, 0.695510204314232, -0.715431199873623, 0.698456181074481, 0.708973019867694, 0.705618778714649}"
