sep=,
"ISI-L4"
"Element 1","Element 2"
"[250]{-0.720020873968865, -0.711224281513237, 0.729167765695862, 0.690130706535012, 0.691294129580892, -0.709364878834615, 0.728594749564099, -0.691010728553301, 0.718609029178115, -0.728011988437672, 0.71177947169483, 0.673331176955908, -0.696974146248093, 0.685703919257253, 0.725726362373889, 0.734698934344511, -0.719866202287914, -0.696248773545218, -0.686783772401707, 0.725597395577422, 0.696121672809125, 0.694991600435415, -0.723563673142412, -0.682049979237413, 0.723860956399792, -0.689274289375658, -0.705822079661069, 0.692463789068922, -0.688023119561328, 0.691849319762459, -0.718736129914182, 0.722306500032636, -0.742210782745437, -0.69886525710667, -0.735537525553692, 0.719993303023995, 0.688040945511515, 0.698663366405416, -0.721117372102234, 0.729820214493937, 0.723305766218215, -0.693816354734821, -0.718085547176495, 0.722609786585467, 0.736794698663482, 0.704267458958874, -0.713036644804617, 0.726148448523934, 0.720859465178039, 0.718053838996525, -0.71864073735806, 0.718067721226317, 0.724531231148043, 0.720500140036699, 0.693229456373261, 0.717512531044732, 0.719989165788891, 0.708236672521276, 0.709462137451104, -0.699961755240074, 0.712463628672867, 0.716450503850441, 0.724171906006719, 0.695675757413456, -0.694357662686612, 0.720544355970484, 0.712778737880411, 0.721725604966542, -0.716194436317891, -0.693802472505048, 0.725086421329636, 0.725042205395864, 0.705492923888714, 0.701279849966907, -0.686276935389004, 0.716872590000503, 0.710332436840242, -0.690144588764808, -0.715639246136309, -0.689260407145889, 0.737349888845071, 0.694896207879315, -0.719324894336114, 0.688861710770515, -0.678063104059845, 0.731582358556088, -0.731683754407658, 0.709333170654649, -0.738539016775448, -0.696418956066512, 0.676332668177678, 0.719438112842402, 0.697412196591089, 0.704951615936911, -0.683830634348818, -0.694997603730867, 0.710887627021826, -0.685602523405668, -0.703375778620878, -0.719406404662427, -0.687467929379741, 0.682478068682901, -0.725024379445683, 0.685019762279204, 0.68260703547936, -0.686447117910309, -0.729838040444094, 0.723835251515304, -0.672629194027687, -0.70704754459088, -0.721852705702637, 0.724402264351589, 0.68192287850135, -0.715653128366112, 0.691308011810692, 0.733807089671499, 0.731027168374489, -0.722312503328074, 0.715621420186138, -0.687338962583309, 0.721055330218295, 0.683858205293694, 0.711224281513242, 0.682702428035473, -0.6906858967166, 0.722990657010666, -0.699091455850919, 0.722280795148107, -0.725565687397472, -0.700090722036513, 0.673886367137493, -0.692432080888935, 0.697967386772674, 0.695580364857342, -0.690118883880311, -0.732284341484291, -0.688034942216045, -0.672074003846116, -0.716418795670467, -0.728140955234097, 0.673202210159448, -0.735551407783474, -0.723178665482134, 0.685608526701116, 0.729965141180199, -0.718129763110268, 0.703060505078317, 0.732581624741679, -0.683289326397041, 0.690112880584849, 0.719608295363703, -0.679617560427034, 0.692559181625013, -0.692261898367643, -0.679062370245426, 0.683187930545444, -0.698550147899131, -0.716349107998863, -0.715734638692427, -0.685021628339552, -0.729392125048447, -0.724469189264112, 0.675648511199616, 0.676318785947852, -0.723733855663715, 0.694979777780693, 0.736253390711688, -0.680843025356845, -0.721757313146494, 0.720163485545305, -0.675075495067874, 0.704822649140448, -0.722407895884215, 0.719860198992432, 0.669659410985903, -0.699420447288277, -0.726166274474095, 0.726281552555473, 0.739240999703657, -0.70760273477245, -0.71248145462304, 0.730690513883082, 0.733122932693456, 0.701821157918687, 0.698833548926718, 0.725593258342339, 0.716317399818884, 0.705790371481084, -0.702408056280237, -0.699406565058477, 0.717005694032017, 0.728713971365865, 0.70793922492888, -0.710590343764442, -0.685721745207413, 0.721414655359618, 0.722595904355679, -0.706377269842654, 0.701835040148476, -0.681734870029819, 0.729136057515888, 0.680186439323669, 0.708777980473043, -0.729167765695881, -0.690130706535007, 0.727532722369814, -0.6868279883355, 0.706048114070282, 0.691908598887317, -0.692565184920475, 0.67958585224704, -0.688590132397641, -0.676616069205263, -0.728682263185906, -0.697994957717542, -0.725720359078435, -0.722022888223918, -0.736221682531715, 0.676873976129453, -0.733105106743279, 0.688691528249205, 0.685053336519527, 0.725423075821035, -0.73039323062571, 0.71929318615615, -0.68489266154313, -0.690814863513055, 0.684413395475277, 0.715766346872386, 0.694965895550907, -0.70691857779443, -0.683275444167229, -0.690455538371723, 0.723151094537259, -0.715748520922231, 0.695546790616993, -0.732934924221952, -0.6883382287689, 0.672660902207659, 0.716991811802212, -0.714457997140281, 0.705506806118509, -0.679288568989667, -0.682734136215444, 0.680741629505268, 0.713320045832215, -0.716904298180435, -0.706363387612846, -0.678733378808081, -0.678192070856294}","[250]{-0.719608295363695, -0.739209291523696, 0.717547001983803, -0.716872590000469, -0.703375778620871, -0.719406404662435, 0.724402264351595, -0.729947315230023, 0.696772255546826, 0.68138157054954, 0.729933433000219, 0.690752821629108, 0.729265024312373, -0.686149834652938, -0.68929211532586, 0.734362279853089, -0.683257618217058, 0.686143831357473, -0.742210782745454, -0.691908598887341, 0.692565184920496, -0.672629194027688, -0.714004202810242, 0.680741629505267, -0.698550147899147, -0.723305766218218, -0.725010497215868, 0.716321537053985, -0.726275549260019, -0.712651637144334, 0.681936760731121, 0.727518840140017, 0.686783772401718, 0.686272798153891, 0.708236672521274, -0.695451398060871, 0.728696145415692, -0.675616803019654, -0.680287835175261, 0.687698287724631, -0.689274289375665, 0.699091455850917, -0.729237453367478, -0.695580364857336, -0.721751309851036, -0.672074003846101, -0.716418795670458, 0.690685896716602, -0.722990657010654, 0.706048114070286, -0.719961594844013, 0.726816857211792, -0.725978266002624, 0.739764481705273, -0.71300493662465, 0.736092715735261, 0.696418956066511, 0.73553752555368, 0.698833548926717, 0.725593258342344, 0.723274058038248, -0.689847305507427, 0.736776872713311, -0.679288568989675, 0.729136057515901, 0.68714309754305, -0.686859696515445, 0.703060505078318, -0.686245227209031, 0.719860198992445, -0.735254124526092, -0.682632740363856, -0.708777980473066, -0.675745769816127, 0.693005097020688, 0.690130706535012, -0.720576064150453, 0.69610384685895, -0.695521085732493, -0.702537023076692, -0.731027168374503, 0.72926916154744, -0.713302219882046, -0.716323403114359, -0.732379734040408, 0.72807403032161, 0.684369179541498, 0.696217065365232, 0.683796163409744, 0.719989165788892, 0.715193330740628, -0.686175539537418, -0.672647019977861, -0.678733378808089, 0.726721464655689, 0.683174048315655, -0.729851922673908, -0.726293375210185, -0.69129412958089, 0.709364878834611, -0.735551407783475, 0.688691528249218, 0.685053336519537, -0.679490459690942, 0.691308011810695, 0.726850431452146, -0.690118883880331, -0.732284341484305, -0.694991600435407, -0.688306520588935, 0.675648511199631, -0.728594749564108, 0.697967386772661, -0.716289828874015, -0.682607035479364, -0.725423075821042, 0.737349888845054, -0.716973985852049, 0.693100489576814, -0.732934924221997, 0.730488623181809, 0.688338228768899, 0.739209291523676, -0.710590343764452, 0.726148448523924, 0.720859465178039, -0.69381635473482, 0.693784646554847, 0.71509793818452, 0.722976774780862, 0.681476963105643, -0.693132197756773, -0.681922878501327, 0.722609786585464, 0.729838040444109, -0.723835251515293, -0.739240999703677, -0.704267458958876, 0.713036644804624, 0.67876508698805, 0.688136338067621, 0.687467929379756, -0.689434726902275, 0.715748520922245, -0.688590132397636, -0.676616069205252, -0.721725604966546, -0.688719099194113, 0.696676862990698, -0.719293186156146, -0.720020873968864, 0.693689253998751, -0.685576818521162, -0.726977532188219, 0.684413395475276, 0.715766346872392, -0.723860956399813, -0.72259590435568, 0.706377269842649, -0.701835040148487, 0.681734870029847, 0.675777477996085, 0.721852705702602, 0.694424587599131, -0.680158868378804, -0.685594644471339, -0.691706708186051, 0.730393230625703, -0.726249844375522, -0.729296732492326, -0.728707968070401, -0.681349862369566, 0.684924369723104, 0.693802472505031, 0.693740430621062, 0.695548656677369, -0.693106492872274, -0.6985679738493, -0.68803494221604, -0.679030662065475, -0.725694654193922, -0.731711325352535, -0.71876370085906, -0.705790371481087, -0.709462137451098, 0.699961755240064, 0.699406565058476, 0.701821157918684, 0.691876890707354, 0.716317399818884, -0.699123164030889, -0.685620349355834, -0.67506161283807, -0.682702428035473, 0.683729238497241, -0.732266515534117, -0.71634910799886, -0.715734638692427, -0.685021628339581, -0.729392125048441, 0.694357662686612, 0.69132583776087, 0.705492923888697, -0.71754700198379, 0.71687259000047, -0.701537756891098, -0.689589398583232, -0.718053838996525, 0.725597395577433, 0.696121672809118, -0.716878593295933, -0.729965141180189, 0.718129763110261, 0.708809688653046, -0.733136814923264, 0.67874726103787, 0.709493845631065, 0.714896047483249, 0.685148729075659, 0.721184297014742, -0.682478068682901, 0.725024379445681, 0.733807089671502, -0.680843025356837, 0.690112880584837, -0.699218556587016, 0.72353196496245, 0.67906237024543, -0.683187930545448, -0.706363387612835, -0.68569003702744, 0.717445606132225, -0.739223173753488, -0.725624966522312, 0.685608526701128, -0.681905052551151, 0.687338962583296, 0.683858205293702, 0.7181809397326, -0.719891907172411, -0.679603678197219, -0.688009237331546, -0.695675757413432, 0.687401004467249, 0.68204997923741, -0.716904298180434, -0.71332004583221, -0.694965895550902, -0.704951615936911, -0.73499621760189}"
"[16]{-0.720020873968865, -0.719866202287914, -0.742210782745437, 0.720859465178039, -0.694357662686612, 0.737349888845071, 0.710887627021826, 0.68192287850135, -0.725565687397472, 0.729965141180199, -0.729392125048447, -0.726166274474095, 0.70793922492888, 0.691908598887317, 0.71929318615615, -0.714457997140281}","[16]{-0.719608295363695, -0.683257618217058, 0.686783772401718, -0.722990657010654, 0.729136057515901, -0.731027168374503, -0.729851922673908, 0.697967386772661, 0.71509793818452, -0.688590132397636, 0.681734870029847, -0.693106492872274, -0.67506161283807, 0.725597395577433, 0.690112880584837, -0.679603678197219}"
