sep=,
"ISI-L5"
"Element 1","Element 2"
"[250]{-0.715472194940731, 0.721502345454233, -0.6974141623186, 0.704011975636055, 0.705898004749905, 0.686960437701735, 0.678190489005937, -0.708574900397701, -0.698371092991856, -0.699162876362921, 0.702576009014607, -0.703915953568602, -0.692384567155101, -0.697424617842782, -0.698990717347156, 0.683457169104031, 0.709543533519597, 0.682735000972422, 0.712501565844809, -0.687746383961038, -0.693351191216703, -0.705889865566996, -0.7153513559287, -0.700299127183623, -0.693020114059505, -0.713848630496163, -0.718868532271318, -0.712141543067238, 0.705785821876073, 0.70216899549109, 0.702804542395496, 0.719228555048882, 0.730180980982271, -0.696968017601681, -0.714179707653364, -0.710909767342147, -0.708624366724627, 0.717628237759682, -0.696636940444488, -0.713213083591762, -0.702444519617935, -0.692263728143073, -0.709380752641051, 0.713160359904575, 0.68209945406802, 0.696077553191422, -0.698698809894424, 0.733797807367252, -0.688678175515312, -0.718621296239916, -0.702584527801151, 0.691492568144577, 0.69318289493805, -0.701021295315236, -0.690062081734298, 0.735360660249539, 0.699718157643214, -0.704987494093123, 0.710150378039292, 0.711674292441488, 0.684701326352769, 0.692292016238517, 0.689282923122544, -0.708714908580911, 0.685385203295799, 0.703400771216186, -0.720531035195972, 0.722705373250649, -0.688538167332098, 0.708387694160821, 0.698383458538193, -0.719979011275933, -0.716050508129329, -0.689941242722277, 0.723404525451265, -0.698896051793452, -0.699111556359184, 0.695413303902307, -0.702607543732134, 0.68409271600844, 0.725967546172981, 0.693687426905818, -0.71464743273915, -0.704958074012717, -0.690081250905489, -0.703604464949474, 0.710901248555607, 0.696200981300601, -0.716829909976736, -0.701808972713532, -0.675839715489692, -0.689502937716889, -0.702006214612548, 0.693090818481501, 0.67537246486394, -0.721849811751894, -0.695081983509451, 0.742087649453623, -0.693119764101872, -0.701370667708144, 0.709514831134885, 0.695250279788104, 0.673748900419378, -0.691324271865928, 0.713728265944182, -0.695405164719394, 0.674216625505168, -0.706201354186127, 0.683202726058213, 0.697624483524602, -0.718271923847006, 0.708603846018069, 0.724369295836058, 0.71149785697992, -0.69381891630249, -0.699938172237567, -0.69680824010957, 0.689233456795615, 0.707284422170632, 0.696836528205006, -0.700405897323351, -0.690856546780141, 0.707776572614751, -0.713948280538529, -0.706390569483298, 0.716241820338964, -0.697587641956982, 0.677365726804361, -0.691959818770332, 0.697304253290795, -0.715282979643557, -0.721382086666108, -0.709959065829654, 0.711562109567648, 0.699909884142126, 0.716906069628079, -0.693678908119273, 0.727070818163168, 0.704159746229771, -0.722238122624894, -0.701948980896748, 0.707916580797958, 0.713060709862209, 0.694577416856038, -0.686304370090771, 0.7070012767401, 0.697432757025689, 0.670599799120192, -0.705565807281722, 0.699626738711598, 0.717502298448769, 0.677326788324264, 0.712361557661588, 0.69600991232662, 0.7092124563624, 0.681768376910824, 0.695110929129817, -0.716089446609418, 0.705454744718875, 0.710127760420262, 0.69739632974734, 0.719088546865672, -0.696828009418467, 0.712829282747374, 0.690058218997189, 0.690669340543263, -0.698838818077647, -0.693211183033488, 0.721119124833743, 0.685616630410636, 0.707919969075037, 0.713260540858393, -0.689453471389958, 0.692759741324306, 0.683331229793112, -0.727258024400048, -0.695221991692663, -0.684921340947121, 0.716677536247194, 0.693941869951636, -0.702728382744154, 0.696048850806712, -0.68618353107875, 0.695045141941831, -0.701181452410972, 0.676475736854132, -0.720302881418706, -0.714655097462024, 0.707968299113662, 0.707945283182676, 0.70054543104653, 0.733330082281463, -0.682726482185883, -0.700078180420783, 0.686948056178089, -0.718968182313682, -0.69966358027922, -0.676596101406117, -0.693970815572002, 0.67673017989995, -0.708383831423714, 0.686351827357404, 0.711866018940399, -0.704170396614419, -0.704303617150091, 0.721259133016957, -0.698139665877024, -0.694643678504069, -0.683323090610203, 0.698867106173086, 0.673113353514971, -0.707748284519308, 0.702775840010789, 0.731743833864561, 0.691428315556848, -0.700545905506562, 0.692899749507517, -0.700425066494547, 0.680943614709246, 0.711726010757183, 0.679585899673233, 0.698260030429009, -0.701847911193618, 0.719556271951454, -0.702779702747897, 0.694286166928242, -0.699474364982047, -0.709635195686871, 0.70124130990958, -0.709982081760635, 0.704162257431512, 0.73269453537706, -0.699150494839267, -0.711030606354168, -0.696668231926353, -0.694522839492046, -0.695279225408473, -0.699747103263583, 0.678989291248925, -0.722485358656297, -0.711505996162835, 0.722209834529455, 0.722046810415257, -0.71236203212163, 0.730219919462364, 0.718401281645568, -0.708136595392315, 0.695908842623492, 0.69757276520891, -0.713156497167469}","[250]{-0.71011748680802, -0.692226146176729, -0.699019005442598, -0.701827644721656, 0.708714908580916, 0.719997440048396, -0.702554903105777, 0.71823240514302, 0.701220385912689, -0.740774056257425, -0.716050508129325, 0.710978706126537, -0.69604885080671, 0.686183531078751, -0.699507836437216, 0.695190240377559, 0.714805379257481, -0.681171768486504, -0.684210877884098, 0.723373145930196, 0.682537261910339, -0.742087649453618, -0.71226287924233, 0.704987494093124, 0.695232265304905, 0.690091524517731, 0.708774648520084, 0.710088241716275, 0.70630061282928, 0.712291824862694, -0.678989291248923, -0.682897284687902, 0.7195855170432, 0.688528473943751, 0.677396521123162, -0.723404525451267, -0.710949286046133, 0.701199865206131, 0.701223477338325, -0.701189591593884, 0.704866655081102, -0.69819424324102, 0.682477222499792, 0.708814167224068, 0.710109347625111, -0.680302884445117, -0.679109655800907, 0.713594305009787, -0.730955696633023, 0.6885381673321, 0.692532254687988, -0.707991496956585, 0.702050336452369, -0.671374514770945, -0.703783991836672, -0.707203458763191, -0.707101032546322, -0.700299127183625, -0.68855741956412, -0.703394723967364, 0.711069544834258, -0.698727755514795, 0.712262299018433, 0.705898004749907, 0.691423132197126, -0.721200942304846, 0.71452609656406, -0.701222897114425, -0.718621296239918, 0.70726081003844, 0.693866953793015, 0.703457274579649, -0.702576009014605, -0.705929384270985, -0.710909767342149, 0.692295582124188, -0.697362444002909, 0.698896548956519, -0.693516624403801, -0.696090875734062, 0.710897385818501, 0.721311033244596, -0.715267920983549, 0.712241193109607, -0.718263784664088, -0.72963241004849, 0.699886272009931, 0.713936495216092, -0.695198379560468, -0.686414461030516, -0.70210223668, -0.725805262457504, 0.684990776894578, 0.706631689986482, 0.708795754428916, -0.676515255558122, -0.685100867834321, -0.705889865566994, -0.719814050424092, -0.706290339217041, 0.702723696547495, -0.699486730528381, -0.691413256896838, -0.676596101406119, 0.711411827772192, -0.732269289829226, 0.70125118520987, 0.698523466721405, 0.711492673620198, 0.69090869024343, 0.723453991778191, -0.705050044705411, -0.703725801124564, 0.714565615268049, -0.710127180196369, 0.693558069107249, -0.719577377860288, -0.716919392170718, 0.705877484043349, -0.677344620895529, -0.699106372999457, 0.716068340700583, -0.724233890788673, -0.724954791211268, -0.687607215214691, 0.704037289743694, -0.712199748406151, -0.697404468930253, 0.714685014705498, 0.715319821211178, 0.67601319512807, 0.716149186548581, 0.690018700293201, -0.705809019718993, 0.703363929648559, -0.675162143657937, -0.69779277980326, 0.712280711813584, -0.718242678755256, 0.694529379365512, -0.698748861423624, -0.711899490395559, -0.70623214850493, -0.686272516109659, -0.695279225408476, 0.710098234575997, -0.719556271951451, 0.70724239724328, -0.692757649390215, 0.707584680181213, -0.717373794713865, 0.708555990439476, -0.696545278277207, 0.713575892214628, 0.702110375862909, 0.697414344230538, 0.698283228271932, 0.703384450355119, 0.693605609434712, -0.719887349108655, 0.710738467677067, -0.69523168508101, 0.700862874336864, 0.696119163829499, -0.722069826346241, 0.709424874480867, -0.691444056194016, 0.69487166230345, -0.723365006747282, -0.710928180137302, -0.685403632068269, -0.681252614334506, 0.703376428731648, 0.693936686591908, -0.723383419542437, 0.713212503367869, -0.697435268227431, -0.724612508273333, -0.712223360538346, 0.705008600001954, -0.691371231969492, -0.692384567155101, -0.697424617842782, 0.706391925997042, 0.679840342719053, 0.710179080424004, 0.694696319130419, 0.717462779744774, 0.686231071406207, -0.699817807685582, -0.687917186463051, -0.679070137096921, 0.704690021927842, 0.681223668714141, -0.729374631575846, -0.706271667208919, -0.68629362201849, 0.691324271865922, -0.718190960439565, 0.693876647181363, 0.718593008144478, -0.687162980519922, 0.707070238227527, 0.727281139369177, -0.719945539820765, -0.711030606354171, -0.701130926421734, -0.704976746020846, 0.690010678669729, -0.705477942561794, 0.699867859214784, -0.672688107967143, -0.691070973958905, -0.701212246729779, 0.712383138030458, -0.711440773392563, 0.706271086985019, -0.713586165826872, 0.702564778406058, 0.69473583783441, 0.717483885653611, -0.700372425868186, 0.719545998339214, 0.697432757025694, -0.734782844224008, 0.703433662447454, 0.6998370599176, 0.698779655742425, 0.684917478210019, -0.696030178798586, -0.693908398496474, 0.712210979014691, 0.708598015366824, -0.721259133016958, -0.70724297746718, -0.707122138455153, 0.686304370090771, 0.693918672108714, 0.702804542395499, 0.714765860553492, -0.681192874395338, 0.702392619390305, -0.695990660094598, -0.702812681578411, -0.686374942326533, -0.702081130771172, 0.698356526956491, -0.704718967548207, -0.707221871558348, 0.717039650958844}"
"[16]{-0.715472194940731, 0.709543533519597, 0.730180980982271, -0.688678175515312, 0.685385203295799, 0.725967546172981, -0.695081983509451, 0.724369295836058, -0.691959818770332, -0.686304370090771, 0.69739632974734, -0.695221991692663, -0.682726482185883, -0.683323090610203, -0.702779702747897, -0.711505996162835}","[16]{-0.71011748680802, 0.714805379257481, 0.7195855170432, -0.730955696633023, 0.691423132197126, 0.710897385818501, -0.685100867834321, -0.703725801124564, 0.714685014705498, -0.695279225408476, 0.710738467677067, -0.697435268227431, 0.704690021927842, 0.690010678669729, -0.734782844224008, -0.681192874395338}"
